,Artist Name,Profile Photo,Cover Photo,Artist Bio,Websites,Genres,Based In,Nationality,Real Name 1,Real Name 2,Real Name 3,Real Name 4,Real Name 5,Real Name 6,Management (PR),Email manager (PR),Territories,Representing Agency,Agent(s) to talk to,Agency/agent(s) direct email,Agent's Phonenumber,Territories,Representing Agency EUROPE,Agent(s) to talk to,Agency/agent(s) direct email,Agent's Phonenumber,Territories,Representing Agency USA,Agent(s) to talk to,Agency/agent(s) direct email,Agent's Phonenumber,IF NO AGENCY - EMAIL ADDRESS ARTIST,Record Label(s),Bands In Town ID,OPTIONAL LINK TO SOUNDCLOUD PREFFERED SONG,Beatport DJ ID,Beatport PRO ID,Facebook Page,Instagram ID,Itunes ID,Last.fm ID,Mixcloud ID,Partyflock,Songkick ID,Soundcloud ID,Spotify ID,Twitter ID,Youtube Channel
Artist# 0001,Liquorish Dubz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artist# 0002,&ME,https://scontent-lax1-1.xx.fbcdn.net/hphotos-xaf1/v/t1.0-9/10676166_926979510675685_6616635599123081545_n.jpg?oh=b0ebe36483d99f5bc231d4acc96a0448&oe=567D8DA6,https://fbcdn-sphotos-a-a.akamaihd.net/hphotos-ak-xft1/v/t1.0-9/11222188_1025524857487816_4374732042173005368_n.jpg?oh=87657d7bce017502ab0f8d7f9bc078ba&oe=5638E3FB&__gda__=1447764122_5951dd9b9d2ecd365226cf636f809cb7,,http://keinemusik.com/,"Toolhouserock, Minimal Highlife","Berlin, Germany",German,André Boadu,,,,,,,,,,,,,,,,,,,,,,,,"Keinemusik, Saved Records",,,andmeandyou,and-me/61960,https://www.facebook.com/andmekeinemusik/timeline?ref=page_internal,andmeandyou,me/id421521320,&ME,me/,64731:ME,1319026-and-me,andmeandyou,-,@andmeandyou,keinemusik/channels
Artist# 0003,2 Many DJs,https://scontent-lax1-1.xx.fbcdn.net/hphotos-xpa1/v/t1.0-9/179967_10151489150968318_2016575126_n.jpg?oh=7673fa448f9e1127bd0c8430016e314b&oe=5678B04D,https://scontent-lax1-1.xx.fbcdn.net/hphotos-xtf1/v/t1.0-9/10665303_10152458136878318_3382569131763446043_n.jpg?oh=90844f97299a9e7bb4858b181229ee2a&oe=567F6293,,http://radiosoulwax.com/,Electronic,"Berlin, Germany",German,Steven Dewaele,David Dewaele,,,,,,,,,,,,,,,,,,,,,,,Pias Recordings,2ManyDj's,,,soulwax/10547,https://www.facebook.com/2manydjs,2manydjs,soulwax/id15159081,2+Many+DJ's,2-many-djs/,5983:2ManyDJs,6117049-2manydjs,2many-djs,-,@2manydjsTour,https://www.youtube.com/channel/UCHvcelhZMS1T1bUTCC5r54w
Artist# 0004,2000 and One,https://scontent-lax1-1.xx.fbcdn.net/hphotos-xta1/v/t1.0-9/10394551_10152848431492831_971423105203676883_n.jpg?oh=59ea29011494db6b2863ec78e0e49ede&oe=564BAE99,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpt1/t31.0-8/c0.0.851.315/p851x315/11822868_10153130231677831_1885322531092216418_o.jpg,,http://2000andone.com/,House Techno,"Amsterdam, Netherlands",Dutch,Dylan Hermelijn,,,,,,,,,,,,,,,,,,,,,,,,"100% Pure , Intacto , Remote Area, Area Remote , Bangbang! , Bitten , Moving Vibrations",2000AndOne,,,2000-and-one/11270,https://www.facebook.com/dj2000andone,,,2000+and+One,2000-and-one/,15632:2000-and-One,718633-2000-and-one,2000andone,030NUgrxJxZPLc7cXUhgvD,@2000andone,https://www.youtube.com/channel/UC6cyAi6R3PRB-O12IeeoZiQ
Artist# 0005,2CV,https://scontent-lax1-1.xx.fbcdn.net/hphotos-xap1/v/t1.0-9/10632834_949977118388105_2853143369553394398_n.png?oh=2eb97c2b5d4143ca00300241e67483cf&oe=563D451D,https://fbcdn-sphotos-d-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/1458692_797383250314160_3005254992682776221_n.jpg?oh=75e86f453062270c8ef613b9a2d7ff6c&oe=564D4F68&__gda__=1447245555_616c904baa5da132e80c5ba3f08a6aed,,http://soundcloud.com/2cv-musique,Nu Disco ,"Amsterdam, Netherlands",Dutch,Guido le Saint,Jus de Veau,,,,,,,,,,,,,,,,,,,,,,,,2CV,,,2cv/342072,https://www.facebook.com/2CV.musique,2cv.musique,,2CV+Musique,2cv_musique/,73475:2CV,-,2cv-musique,3bAK9ssRURzIXt0bsGMaDw,@2CV_musique,2CVmusique
Artist# 0006,A++,https://scontent-lax1-1.xx.fbcdn.net/hphotos-xft1/v/t1.0-9/1891130_492782777552601_4561156785357974410_n.jpg?oh=0084d107123defc027f93223a4507dc9&oe=56484766,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xat1/v/t1.0-9/10525674_441819062648973_724824392427642151_n.jpg?oh=d71edd3ebbbc873bb4e87f89c94c5c7c&oe=5640F4A8&__gda__=1451049052_46fefafd29cb4888c279497d7cd92665,,http://soundcloud.com/alexmindgames,Techno House,"Amsterdam, Netherlands",Romanian,Alexandru Dima,,,,,,,,,,,,,,,,,,,,,,,,"KMS Records, Intacto, Refused Audio, Consumed Music",APlusPlus,,aplusplus,a-plus/271102,https://www.facebook.com/Aplusplusofficial,,,,aplusplusalex/,85110:A,-,alexmindgames,21l4vhetbzcv72rlnu3pspz2i,-,nerdz88
Artist# 0007,A-Brothers,https://scontent-lax1-1.xx.fbcdn.net/hphotos-xtp1/v/t1.0-9/11214363_952759448079351_7551635022711229826_n.jpg?oh=8badbde86fb645f220fb705adc0dfd3b&oe=564CF343,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xft1/v/t1.0-9/11403079_952760018079294_5400105216806133714_n.png?oh=b85c980af4d27083ed2f898d3281fd8c&oe=563F7BA0&__gda__=1451105066_53e8b17d92ca802bee38e8087c99b542,,http://facebook.com/abrotherstechno,Techno,"Vienna, Austria",Austrian,Mario Kinle,Florian Reichart,,,,,,,,,,,,,,,,,,,,,,,Hybrid Confusion Records,A-Brothers?came_from=178,,a-brothers,a-brothers/125988,https://www.facebook.com/ABrotherstechno/timeline?ref=page_internal,,a-brothers/id350584212,,artist:a-brothers/,69972:A-Brothers,-,a-brothers,7bxXctIph1GaxH0ClIScT7,,AustrianBrothers1
Artist# 0008,A.Professor,https://fbcdn-sphotos-f-a.akamaihd.net/hphotos-ak-xpt1/v/t1.0-9/1382939_10151610727476176_1730903618_n.jpg?oh=dfb83e4560c84b1d2c519fa89c66a6f9&oe=563E1731&__gda__=1447759072_24e2e51c1b5df1f103037232161bf9e0,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xpa1/v/t1.0-9/10584092_10152388232446176_8576588204649147_n.jpg?oh=fa2ee23e603aec31132d9279e0e5d638&oe=5644FE29&__gda__=1447316500_215ba1c43f0366165f43715e2682a805,,http://soundcloud.com/aprofessor,Masculino,"Vitoria-Gasteiz, Spain",Spanish,,,,,,,,,,,,,,,,,,,,,,,,,"Grind Rec , Patterns , Ignored",,,,,https://www.facebook.com/aprofessor,,,,a-professor/,60842:A-Professor,967325-aprofessor,aprofessor,,,
Artist# 0009,Aaryon,https://scontent-lax1-1.xx.fbcdn.net/hphotos-xpf1/v/t1.0-9/10405331_397539607075203_8715328163731992641_n.jpg?oh=00e0d45d1805b8b14a70162f0da8db92&oe=56379D58,https://scontent-lax1-1.xx.fbcdn.net/hphotos-xfp1/t31.0-8/c0.142.851.315/p851x315/11223838_512480902247739_8798616680923025597_o.jpg,,http://www.steyoyoke.com/aaryon/,"Deep House, Electronic, Techno","Vigo, Spain",Spanish,Marcos Rosales,,,,,,,,,,,,,,,,,,,,,,,,Steyoyoke,,,aaryon,aaryon/437802,https://www.facebook.com/aaryon.music,,,,aaryon/,,,aaryon_music,5MNcFxY5suOkQEFj5lxZ1K,@Aaryon_Music,STEYOYOKETV
Artist# 0010,Absolut Groovers,https://fbcdn-sphotos-c-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/1098287_379957492130336_1312816312_n.jpg?oh=06f38359b40e3e58360cb047dc9bbb2a&oe=564C0749&__gda__=1446354784_2553cbe3b8910393dcd088b7bcd4bf4f,https://fbcdn-sphotos-h-a.akamaihd.net/hphotos-ak-xtp1/v/t1.0-9/11755836_741205672672181_5176372100074248414_n.png?oh=94e94f97161e7d842eeccf130abbb53e&oe=564ECFC5&__gda__=1450944243_5e16586b0e26340815005c8b3d9aab31,,http://www.absolutgroovers.com/ag/Absolut_Groovers.html,,"Riccione, Italy",Italian,,,,,,,,,,,,,,,,,,,,,,,,,A-Gain,AbsolutGroovers,,absolut-groovers,absolut-groovers/304953,https://www.facebook.com/AbsolutGroovers,,absolut-groovers/id590611203,Absolut+Groovers,artist:absolut-groovers/,,,absolut-groovers,6MeL4TognDx5BoQ9ZiC2YB,@AbsolutGroovers,
